Id,Artículo,Nombre,Presentación,Valor_Nutricional,Cantidad_Base,Precio_Unidad_Base,Número_Valoraciones,Valoración,Precio_Anterior,Precio_Actual,Fecha_Extracción
0,"Filetes de lomo adobado de cerdo extrafino EROSKI, bandeja 300 g",Filetes de lomo adobado de cerdo extrafino EROSKI,bandeja 300 g,score-c,KILO,12.83,9,4.5,NaN,3.85,2020-04-10
1,"Picada mixta cerdo-vacuno burger meat EROSKI basic, bandeja 1 kg",Picada mixta cerdo-vacuno burger meat EROSKI basic,bandeja 1 kg,score-c,NaN,NaN,1,4.0,5.30,4.99,2020-04-10
2,"Filetes de lomo de cerdo adobado EROSKI, bandeja 500 g",Filetes de lomo de cerdo adobado EROSKI,bandeja 500 g,score-c,KILO,9.50,4,4.2,NaN,4.75,2020-04-10
3,"Tomate frito casero con aceite de oliva EROSKI, frasco 350 g",Tomate frito casero con aceite de oliva EROSKI,frasco 350 g,score-b,KILO,3.11,17,4.8,NaN,1.09,2020-04-10
4,"Queso rallado 4 quesos EROSKI, bolsa 150 g",Queso rallado 4 quesos EROSKI,bolsa 150 g,score-d,KILO,10.60,7,4.2,NaN,1.59,2020-04-10
5,"Queso rallado Mozzarella EROSKI para pizza, bolsa 200 g",Queso rallado Mozzarella EROSKI para pizza,bolsa 200 g,score-d,KILO,7.25,4,5.0,NaN,1.45,2020-04-10
6,"Picada mixta de cerdo-vacuno EROSKI, bandeja 400 g",Picada mixta de cerdo-vacuno EROSKI,bandeja 400 g,score-d,KILO,6.88,4,4.0,NaN,2.75,2020-04-10
7,"Patas de pulpo cocido EROSKI, bandeja 200 g",Patas de pulpo cocido EROSKI,bandeja 200 g,score-a,KILO,39.95,4,5.0,NaN,7.99,2020-04-10
8,"Hamburguesa de ternera E. LABEL SELEQTIA, 4 unid, bandeja 480 g",Hamburguesa de ternera E. LABEL SELEQTIA,4 unid,score-c,KILO,12.71,6,4.6,NaN,6.10,2020-04-10
9,"Lomo adobado fileteado EROSKI, bandeja aprox. 800 g",Lomo adobado fileteado EROSKI,bandeja aprox. 800 g,score-c,KILO,8.75,2,5.0,NaN,7.00,2020-04-10
10,"Picada de vacuno EROSKI, bandeja 400 g",Picada de vacuno EROSKI,bandeja 400 g,score-c,KILO,7.50,0,0,NaN,3.00,2020-04-10
11,"Bacón cocido y ahumado EROSKI basic, sobre 200g",Bacón cocido y ahumado EROSKI basic,sobre 200g,score-e,KILO,8.25,20,4.6,NaN,1.65,2020-04-10
12,"Burguer Meat de vacuno EROSKI basic, bandeja 1 kg",Burguer Meat de vacuno EROSKI basic,bandeja 1 kg,score-c,NaN,NaN,0,0,NaN,5.30,2020-04-10
13,"Chorizo extra dulce EROSKI, sarta 250 g",Chorizo extra dulce EROSKI,sarta 250 g,score-e,KILO,10.60,9,4.7,NaN,2.65,2020-04-10
14,"Chuleta pavo al ajillo EROSKI, bandeja aprox. 500 g",Chuleta pavo al ajillo EROSKI,bandeja aprox. 500 g,score-b,KILO,7.46,6,4.8,NaN,3.73,2020-04-10
15,"Hamburguesa de pollo c/espinacas EROSKI, 4 unid., bandeja 313 g",Hamburguesa de pollo c/espinacas EROSKI,4 unid.,score-b,KILO,8.79,10,4.9,NaN,2.75,2020-04-10
16,"Lomo de cerdo ibérico adobado Eroski SELEQTIA, bandeja aprox. 350 g",Lomo de cerdo ibérico adobado Eroski SELEQTIA,bandeja aprox. 350 g,score-c,KILO,23.94,2,5.0,NaN,8.38,2020-04-10
17,"Filetes de pechuga de pavo al ajillo EROSKI, bandeja aprox. 500 g",Filetes de pechuga de pavo al ajillo EROSKI,bandeja aprox. 500 g,score-b,KILO,8.66,3,4.6,NaN,4.33,2020-04-10
18,"Chorizo dulce EROSKI basic, sarta 200 g",Chorizo dulce EROSKI basic,sarta 200 g,score-e,KILO,9.25,2,3.0,NaN,1.85,2020-04-10
19,"Palitos de surimi MSC EROSKI, bandeja 300 g",Palitos de surimi MSC EROSKI,bandeja 300 g,score-c,KILO,10.50,6,4.6,NaN,3.15,2020-04-10
20,"Taquitos de bacón ahumado con humo natural EROSKI, pack 2x100 g",Taquitos de bacón ahumado con humo natural EROSKI,pack 2x100 g,score-e,KILO,13.75,2,4.5,NaN,2.75,2020-04-10
21,"Pistachos tostados-salados EROSKI, bolsa 400 g",Pistachos tostados-salados EROSKI,bolsa 400 g,score-c,KILO,16.23,0,0,NaN,6.49,2020-04-10
22,"Tomate frito EROSKI, frasco 550 g",Tomate frito EROSKI,frasco 550 g,NaN,KILO,1.47,1,5.0,NaN,0.81,2020-04-10
23,"Jamón cocido EROSKI basic, sobre 275 g",Jamón cocido EROSKI basic,sobre 275 g,score-c,KILO,7.13,1,5.0,NaN,1.96,2020-04-10
24,"Jamón cocido extra EROSKI Maestro, sobre 200 g",Jamón cocido extra EROSKI Maestro,sobre 200 g,score-c,KILO,11.75,20,4.7,NaN,2.35,2020-04-10
25,"Chorizo Pamplona extra EROSKI basic, sobre 200 g",Chorizo Pamplona extra EROSKI basic,sobre 200 g,score-e,KILO,7.10,2,5.0,NaN,1.42,2020-04-10
26,"Yogur natural EROSKI basic, pack 8x125 g",Yogur natural EROSKI basic,pack 8x125 g,score-a,KILO,0.96,4,5.0,NaN,0.96,2020-04-10
27,"Queso fundido EROSKI basic, lonchas, sobre 450 g",Queso fundido EROSKI basic,lonchas,score-d,KILO,3.44,4,4.7,NaN,1.55,2020-04-10
28,"Lomo adob. fileteado al vacío EROSKI basic, bandeja aprox. 800 g",Lomo adob. fileteado al vacío EROSKI basic,bandeja aprox. 800 g,score-c,KILO,6.80,3,3.6,NaN,5.44,2020-04-10
29,"Fiambre de pechuga de pavo EROSKI basic, sobre 225 g",Fiambre de pechuga de pavo EROSKI basic,sobre 225 g,score-d,KILO,9.11,3,5.0,NaN,2.05,2020-04-10
30,"Yogur de fresa-plátano-limón EROSKI basic, pack 8x125 g",Yogur de fresa-plátano-limón EROSKI basic,pack 8x125 g,score-b,KILO,1.04,5,5.0,NaN,1.05,2020-04-10
31,"Pistachos tostados EROSKI, tarrina 200 g",Pistachos tostados EROSKI,tarrina 200 g,score-a,KILO,18.75,1,5.0,NaN,3.75,2020-04-10
32,"Pistachos tostados EROSKI, bolsa 175 g",Pistachos tostados EROSKI,bolsa 175 g,score-c,KILO,17.09,3,4.3,NaN,2.99,2020-04-10
33,"Filetes de pechuga pollo al ajillo EROSKI, bandeja peso aprox. 500 g",Filetes de pechuga pollo al ajillo EROSKI,bandeja peso aprox. 500 g,score-b,KILO,7.96,1,5.0,NaN,3.98,2020-04-10
34,"Filete de pechuga de pavo pimentón EROSKI, bandeja aprox. 430 g",Filete de pechuga de pavo pimentón EROSKI,bandeja aprox. 430 g,score-b,KILO,8.65,1,5.0,NaN,3.72,2020-04-10
35,"Carne picada 100% vacuno EROSKI, bandeja 400 g",Carne picada 100% vacuno EROSKI,bandeja 400 g,score-b,KILO,10.50,6,5.0,NaN,4.20,2020-04-10
36,"Griego con fresas EROSKI, pack 6x125 g",Griego con fresas EROSKI,pack 6x125 g,score-c,KILO,2.00,9,4.5,NaN,1.49,2020-04-10
37,"Queso rallado Emmental EROSKI, bolsa 200 g",Queso rallado Emmental EROSKI,bolsa 200 g,score-d,KILO,6.75,4,5.0,NaN,1.35,2020-04-10
38,"Longaniza de pollo EROSKI Sannia, bandeja 360 g",Longaniza de pollo EROSKI Sannia,bandeja 360 g,score-c,KILO,8.33,3,4.0,NaN,3.00,2020-04-10
39,"Bebida de soja calcio ligera EROSKI, brik 1 litro",Bebida de soja calcio ligera EROSKI,brik 1 litro,score-a,NaN,NaN,4,4.5,NaN,0.94,2020-04-10
40,"Lomo embuchado EROSKI, pack 2x62,5 g",Lomo embuchado EROSKI,pack 2x62,score-d,KILO,20.00,0,0,NaN,2.50,2020-04-10
